text,intent
hi,greeting
hello,greeting
hey,greeting
hii,greeting
helo,greeting
good morning,greeting
good evening,greeting
good afternoon,greeting
hey there,greeting
hello bot,greeting
hi bot,greeting
hello there,greeting
hey bot,greeting
hi chatbot,greeting
hello chatbot,greeting
can you help me,greeting
need your help,greeting
are you there,greeting
can you assist me,greeting
help me,greeting
yo,greeting
hi there,greeting
good day,greeting
hello my friend,greeting
hey chatbot,greeting

bye,goodbye
goodbye,goodbye
see you later,goodbye
talk to you later,goodbye
bye bye,goodbye
catch you later,goodbye
ok bye,goodbye
thanks bye,goodbye
see you,goodbye
i will come later,goodbye
talk later,goodbye
see you soon,goodbye
have a nice day,goodbye
ok see you,goodbye
bye for now,goodbye

thanks,thanks
thank you,thanks
thanks a lot,thanks
thank you so much,thanks
thanks for the help,thanks
great thanks,thanks
okay thanks,thanks
many thanks,thanks
thanks chatbot,thanks
thanks buddy,thanks
appreciate it,thanks
thank you for your support,thanks
much appreciated,thanks
thanks dear,thanks
cool thanks,thanks

what is this project,project_overview
tell me about this system,project_overview
what does this application do,project_overview
what is this admission conversion project,project_overview
what is the purpose of this project,project_overview
what is this system used for,project_overview
explain this project,project_overview
what does this prediction system do,project_overview
tell me about this project,project_overview
what is the use of this system,project_overview
how does this project work,project_overview
what is this chatbot for,project_overview
what is this tool,project_overview
what does this tool do,project_overview
why was this system built,project_overview

what inputs are required,required_inputs
which fields should i enter,required_inputs
what data is needed for prediction,required_inputs
what are the required fields,required_inputs
what details should i provide,required_inputs
which inputs are needed,required_inputs
what should i enter for prediction,required_inputs
what columns are used for prediction,required_inputs
what information do you need,required_inputs
what details are needed,required_inputs
what inputs do you want,required_inputs
what should i provide,required_inputs
what all details are required,required_inputs
tell me the required inputs,required_inputs
what should i fill in,required_inputs
what lead details do you need,required_inputs
what are the seven inputs,required_inputs
which details are compulsory,required_inputs
what do you need from me,required_inputs
what fields are mandatory,required_inputs

how to predict,how_to_predict
how can i check admission chance,how_to_predict
how to use this system,how_to_predict
how can i predict,how_to_predict
how do i use prediction,how_to_predict
how to use this predictor,how_to_predict
how can i check admission prediction,how_to_predict
how to check conversion chance,how_to_predict
how do i make a prediction,how_to_predict
how can i get the result,how_to_predict
how to predict a lead,how_to_predict
how do i predict a lead,how_to_predict
how can i predict a lead,how_to_predict
how do i check whether a lead will convert,how_to_predict
how can i see admission probability,how_to_predict
how should i use this system daily,how_to_predict
how does this help my work,how_to_predict
how can this system improve my performance,how_to_predict
how should i use prediction results,how_to_predict
how should placement officers use this system,how_to_predict
how can this help the team,how_to_predict
how do we use this in daily work,how_to_predict
how to use this system effectively,how_to_predict
how should our team use this,how_to_predict
how can i use this every day,how_to_predict
how do i work with this tool,how_to_predict
how do i use this chatbot,how_to_predict
how can i use this chatbot,how_to_predict
how does this chatbot help me,how_to_predict
how do i start prediction,how_to_predict

what is conversion probability,conversion_probability
what does percentage mean,conversion_probability
how is prediction calculated,conversion_probability
what does the prediction mean,conversion_probability
what is admission conversion probability,conversion_probability
what does the score mean,conversion_probability
what does the result percentage mean,conversion_probability
what is conversion score,conversion_probability
what is the meaning of probability,conversion_probability
what does conversion chance mean,conversion_probability
what does admission chance mean,conversion_probability
what is the prediction percentage,conversion_probability
what is this score,conversion_probability
what is a good conversion score,conversion_probability
what is considered high probability,conversion_probability
is 80 percent good,conversion_probability
what does low score mean,conversion_probability
how to understand prediction score,conversion_probability
what is a strong lead score,conversion_probability
how do i know if score is good,conversion_probability
is 70 a good score,conversion_probability
is 60 percent good,conversion_probability
what is a bad score,conversion_probability
what does high score mean,conversion_probability
what does medium score mean,conversion_probability
how to read the score,conversion_probability
is 90 percent good,conversion_probability
what does 50 percent mean,conversion_probability
how do i interpret the result,conversion_probability
what does this probability tell me,conversion_probability

which model is used,model_used
what algorithm are you using,model_used
what machine learning model is used,model_used
which ml model is used,model_used
what model powers this system,model_used
what classifier are you using,model_used
which algorithm is used,model_used
what model is behind this chatbot,model_used
what model do you use,model_used
is logistic regression used,model_used
what ml algorithm is behind this,model_used
what technique are you using,model_used
which method is used,model_used
what prediction model is this,model_used
what chatbot model is this,model_used

where is data stored,database_info
which database is used,database_info
where are prediction results stored,database_info
is the data saved in database,database_info
do you store the results,database_info
what database is connected,database_info
is the prediction saved,database_info
where is chatbot data stored,database_info
is conversation stored,database_info
do you save chatbot logs,database_info
where are logs stored,database_info
is postgresql used,database_info
is the chat saved,database_info
are predictions stored,database_info
where is user data stored,database_info

what is dashboard,dashboard_help
what can i see in dashboard,dashboard_help
what does dashboard show,dashboard_help
how does dashboard help,dashboard_help
what insights are available in dashboard,dashboard_help
what is shown in the dashboard page,dashboard_help
what is available in the dashboard,dashboard_help
what do i see in dashboard,dashboard_help
what charts are in dashboard,dashboard_help
how is dashboard useful,dashboard_help
show me dashboard information,dashboard_help
what does the dashboard contain,dashboard_help
what can dashboard display,dashboard_help
how can dashboard help the team,dashboard_help
what visuals are in dashboard,dashboard_help

which leads should i follow up first,lead_priority
which leads are important,lead_priority
how to prioritize leads,lead_priority
which leads have high chance,lead_priority
which leads should i call first,lead_priority
how do i know which lead to focus,lead_priority
which students should i contact first,lead_priority
which prospects are top priority,lead_priority
which leads should i prioritize,lead_priority
who should i contact first,lead_priority
which lead is best,lead_priority
which leads are high priority,lead_priority
